"audit_id","candidate_id","canonical_name","latitude","longitude","district","categories","source_name","source_url","source_license","sample_reason","source_accessible","name_valid","coordinates_plausible","category_valid","audit_decision","audited_by","audited_at","audit_notes"
"audit-osm-node-12986104935-anuradhapura","osm-node-12986104935-anuradhapura","Tammannawala Archaeological Ruins","8.3534805","80.1178332","Anuradhapura","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/12986104935","ODbL 1.0","district_source_coverage","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:45:49+05:30","Named archaeological ruins exist in the structured source, but sufficient independent identity evidence was not found during the bounded audit."
"audit-wikidata-Q20640029-anuradhapura","wikidata-Q20640029-anuradhapura","Anuradhapura Museum","8.3473","80.3936","Anuradhapura","museum","Wikidata","https://www.wikidata.org/wiki/Q20640029","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q3610571-anuradhapura","wikidata-Q3610571-anuradhapura","Isurumuniya","8.3346","80.3904","Anuradhapura","vihara","Wikidata","https://www.wikidata.org/wiki/Q3610571","CC0 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-5167036323-badulla","osm-node-5167036323-badulla","Adi Hate Wala Waterfall","6.9764577","81.1862758","Badulla","tourism=viewpoint","OpenStreetMap","https://www.openstreetmap.org/node/5167036323","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-4122645228-badulla","osm-node-4122645228-badulla","Demodera Railway Spiral","6.9023894","81.061171","Badulla","tourism=attraction","OpenStreetMap","https://www.openstreetmap.org/node/4122645228","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-3278487272-badulla","osm-node-3278487272-badulla","Eagle Rock","6.7625011","80.9806723","Badulla","tourism=viewpoint","OpenStreetMap","https://www.openstreetmap.org/node/3278487272","ODbL 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-4683720698-badulla","osm-node-4683720698-badulla","Ella Rock","6.8550355","81.0523841","Badulla","natural=peak","OpenStreetMap","https://www.openstreetmap.org/node/4683720698","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-3516426597-badulla","osm-node-3516426597-badulla","Ella Spice Garden","6.8740364","81.0494507","Badulla","tourism=attraction","OpenStreetMap","https://www.openstreetmap.org/node/3516426597","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-4750431422-badulla","osm-node-4750431422-badulla","Haputale Forest Reserve Trailhead","6.7703136","80.9616022","Badulla","tourism=attraction","OpenStreetMap","https://www.openstreetmap.org/node/4750431422","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-4825681053-badulla","osm-node-4825681053-badulla","Huge Stone Viewpoint","6.7901117","80.8622658","Badulla","tourism=viewpoint","OpenStreetMap","https://www.openstreetmap.org/node/4825681053","ODbL 1.0","deterministic_fill","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:45:49+05:30","Generic viewpoint name has insufficient independent evidence as a defensible itinerary destination."
"audit-osm-node-3880552693-badulla","osm-node-3880552693-badulla","Union of two rivers","6.9158121","80.9546795","Badulla","tourism=attraction","OpenStreetMap","https://www.openstreetmap.org/node/3880552693","ODbL 1.0","deterministic_fill","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:45:49+05:30","Mapped attraction exists, but the generic Union of two rivers name requires additional identity and visitor-access evidence."
"audit-wikidata-Q19718381-badulla","wikidata-Q19718381-badulla","Mahiyangana Raja Maha Vihara","7.3220556","80.9908056","Badulla","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q19718381","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-11537838643-batticaloa","osm-node-11537838643-batticaloa","Thoppigala Heritage Centre","7.8213039","81.3995706","Batticaloa","tourism=museum","OpenStreetMap","https://www.openstreetmap.org/node/11537838643","ODbL 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q25551289-batticaloa","wikidata-Q25551289-batticaloa","Kokkadicholai Thaanthonreeswarar Temple","7.6166667","81.7166667","Batticaloa","Hindu temple","Wikidata","https://www.wikidata.org/wiki/Q25551289","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-4354445603-colombo","osm-node-4354445603-colombo","Dutch Colonial Museum","6.9360639","79.8516492","Colombo","tourism=museum","OpenStreetMap","https://www.openstreetmap.org/node/4354445603","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-13011179161-colombo","osm-node-13011179161-colombo","Good Market fair trade and organic market","6.9061323","79.8644793","Colombo","tourism=attraction","OpenStreetMap","https://www.openstreetmap.org/node/13011179161","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-1730307197-colombo","osm-node-1730307197-colombo","National Puppet Museum","6.8614077","79.8664848","Colombo","tourism=museum","OpenStreetMap","https://www.openstreetmap.org/node/1730307197","ODbL 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-13233966301-colombo","osm-node-13233966301-colombo","Train Viewpoint","6.928196","79.8599153","Colombo","tourism=viewpoint","OpenStreetMap","https://www.openstreetmap.org/node/13233966301","ODbL 1.0","deterministic_fill","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:45:49+05:30","Mapped scenic viewpoint exists near the railway, but independent evidence of safe public access and itinerary suitability is insufficient."
"audit-wikidata-Q22906291-colombo","wikidata-Q22906291-colombo","All Saints' Church","6.92087","79.87512","Colombo","church building","Wikidata","https://www.wikidata.org/wiki/Q22906291","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q28972799-colombo","wikidata-Q28972799-colombo","Siri Perakumba Pirivena","6.90275","79.9062778","Colombo","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q28972799","CC0 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q29248261-galle","wikidata-Q29248261-galle","Sri Pushparama Vihara, Balapitiya","6.2916389","80.0421389","Galle","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q29248261","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-way-382387841-gampaha","osm-way-382387841-gampaha","Buddha Statue","7.0833607","79.922738","Gampaha","historic=monument","OpenStreetMap","https://www.openstreetmap.org/way/382387841","ODbL 1.0","deterministic_fill","yes","no","yes","plausible","reject_as_independent_poi","IT22224866","2026-08-20T14:45:49+05:30","Generic Buddha Statue label is insufficient to identify a defensible independent itinerary destination."
"audit-osm-node-4085929738-gampaha","osm-node-4085929738-gampaha","Buddha Statue","7.0696719","79.9175114","Gampaha","historic=monument","OpenStreetMap","https://www.openstreetmap.org/node/4085929738","ODbL 1.0","district_source_coverage","yes","no","yes","plausible","reject_as_independent_poi","IT22224866","2026-08-20T14:45:49+05:30","Generic Buddha Statue label is insufficient to identify a defensible independent itinerary destination."
"audit-wikidata-Q25055443-gampaha","wikidata-Q25055443-gampaha","Saint Stephen's Church, Negombo","7.255","79.832","Gampaha","church building","Wikidata","https://www.wikidata.org/wiki/Q25055443","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-node-5167036321-hambantota","osm-node-5167036321-hambantota","Abarana Ella","6.1875733","80.9702458","Hambantota","tourism=viewpoint","OpenStreetMap","https://www.openstreetmap.org/node/5167036321","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-relation-18201458-hambantota","osm-relation-18201458-hambantota","Great and Little Basses FMA","6.2676592","81.6512862","Hambantota","leisure=nature_reserve","OpenStreetMap","https://www.openstreetmap.org/relation/18201458","ODbL 1.0","deterministic_fill","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:45:49+05:30","Marine fisheries-management or nature-reserve area requires access, boundary, and general-tourist suitability verification."
"audit-osm-node-12310552484-hambantota","osm-node-12310552484-hambantota","Mandagala Archaeological Ruins","6.5143997","81.6206614","Hambantota","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/12310552484","ODbL 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q20216036-hambantota","wikidata-Q20216036-hambantota","Mulkirigala Raja Maha Vihara","6.12305","80.7364","Hambantota","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q20216036","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-osm-way-357028714-jaffna","osm-way-357028714-jaffna","Ruined Kittu Park","9.673858","80.0358896","Jaffna","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/way/357028714","ODbL 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q24044791-jaffna","wikidata-Q24044791-jaffna","Delft National Park","9.4972222","79.7","Jaffna","national park","Wikidata","https://www.wikidata.org/wiki/Q24044791","CC0 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q21975633-jaffna","wikidata-Q21975633-jaffna","Kadurugoda Vihara","9.75","80.0166667","Jaffna","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q21975633","CC0 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q24949103-jaffna","wikidata-Q24949103-jaffna","St. James' Church, Nallur","9.6735556","80.0376667","Jaffna","church building","Wikidata","https://www.wikidata.org/wiki/Q24949103","CC0 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q16313757-jaffna","wikidata-Q16313757-jaffna","St. Mary's Cathedral","9.65614","80.0228","Jaffna","cathedral","Wikidata","https://www.wikidata.org/wiki/Q16313757","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q60754429-kalutara","wikidata-Q60754429-kalutara","Brief Garden","6.45717","80.037626","Kalutara","garden","Wikidata","https://www.wikidata.org/wiki/Q60754429","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q5370021-kandy","wikidata-Q5370021-kandy","Embekka Devalaya","7.2179167","80.5677222","Kandy","temple","Wikidata","https://www.wikidata.org/wiki/Q5370021","CC0 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q25637940-kandy","wikidata-Q25637940-kandy","Gadaladeniya Vihara","7.2573056","80.5560833","Kandy","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q25637940","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q48732862-kegalle","wikidata-Q48732862-kegalle","Dodanthale Raja Maha Vihara","7.2299167","80.4294167","Kegalle","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q48732862","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q12986531-kilinochchi","wikidata-Q12986531-kilinochchi","Pooneryn Fort","9.50337","80.212141","Kilinochchi","fort","Wikidata","https://www.wikidata.org/wiki/Q12986531","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q28694713-kurunegala","wikidata-Q28694713-kurunegala","Panduwasnuwara Raja Maha Vihara","7.5973056","80.1085556","Kurunegala","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q28694713","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q16314732-mannar","wikidata-Q16314732-mannar","Mannar Fort","8.975864","79.917013","Mannar","fort","Wikidata","https://www.wikidata.org/wiki/Q16314732","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q19700397-matale","wikidata-Q19700397-matale","Aluvihare Rock Temple","7.4971944","80.6218611","Matale","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q19700397","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q7504067-matara","wikidata-Q7504067-matara","Shrine of Our Lady of Matara","5.9430625","80.5519375","Matara","shrine","Wikidata","https://www.wikidata.org/wiki/Q7504067","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q2927591-monaragala","wikidata-Q2927591-monaragala","Buduruvagala","6.6870222","81.0783806","Monaragala","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q2927591","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q38350-nuwara-eliya","wikidata-Q38350-nuwara-eliya","St. Clair's Falls","6.9511778","80.6478778","Nuwara Eliya","waterfall","Wikidata","https://www.wikidata.org/wiki/Q38350","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q19711952-polonnaruwa","wikidata-Q19711952-polonnaruwa","Dimbulagala","7.86","81.1436111","Polonnaruwa","mountain","Wikidata","https://www.wikidata.org/wiki/Q19711952","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q6936796-puttalam","wikidata-Q6936796-puttalam","Munneswaram temple","7.5807778","79.8166722","Puttalam","temple","Wikidata","https://www.wikidata.org/wiki/Q6936796","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q33101684-ratnapura","wikidata-Q33101684-ratnapura","Aramanapola Raja Maha Vihara","6.6345278","80.5228333","Ratnapura","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q33101684","CC0 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q38250559-ratnapura","wikidata-Q38250559-ratnapura","Uggal Aluthnuwara Kataragama Devalaya","6.6841667","80.7468611","Ratnapura","temple","Wikidata","https://www.wikidata.org/wiki/Q38250559","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q18345172-trincomalee","wikidata-Q18345172-trincomalee","Gokanna Temple","8.5767778","81.2416111","Trincomalee","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q18345172","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
"audit-wikidata-Q20706644-vavuniya","wikidata-Q20706644-vavuniya","Archaeological Museum, Vavuniya","8.7585556","80.5000556","Vavuniya","museum","Wikidata","https://www.wikidata.org/wiki/Q20706644","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:45:49+05:30","Accessible structured source identifies a specifically named tourism, heritage, religious, or natural POI at plausible coordinates; category is suitable for this bounded source audit."
