Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Category,Grade,Final_Grade,Food_Type,Hotel_ID
MIRISSA HILLS,"HENWALA ROAD, HENWALA, MIRISSA",8,Matara,Galle,Galle Divisional Secretariat,80.465105,5.963842,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00033
WILD GRASS NATURE RESORT,SIGIRIYA,5,Matale,Matale,Matale Divisional Secretariat,80.724371,7.904267,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00034
NORWOOD BUNGALOW,"TEA TRAILS,NUWARA ELIYA.",5,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.60413,6.834541,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00035
VILLA SAFFRON,"NO,776,GALLE ROAD,THIRANGAMA,HIKKADUWA",5,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1137,6.12222,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00036
MOUNT HAVANA LUXURY BOUTIQUE VILLA,"P.O. BOX. 28, WATTAHENA, GAMPOLA.",5,Kandy,Gampola,Udapalatha Divisional Secretariat,80.599521,7.144944,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00037
LAKE LODGE BOUTIQUE HOTEL,"16,DIVISION,WEWA ROAD,KANDALAMA,DAMBULLA",6,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.690316,7.863126,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00038
MOUNT BATTEN BUNGALOW,"BOWALAWATTA,WAITRARAMA,ARANVA ROAD,KANDY",3,Kandy,Kandy,Kandy Divisional Secretariat,80.619447,7.255123,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00039
ELLERTON HOTEL,"NAWA GURUKELLE, DOLUWA, GAMPOLA",5,Kandy,Gampola,Gampola Divisional Secretariat,80.629261,7.187229,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00040
ROSYTH ESTATE HOUSE,"ROSYTH ESTATE,PUSSELLA,KEGALLE",7,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.352821,7.276954,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00041
ERAELIYA VILLAS AND GARDENS,"NO : 299,WALLIWALA,KAPPARATOTA,WELIGAMA.",7,Matara,Matara,Weligama Divisional Secretariat,80.413849,5.958113,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00042
WATERSIDE BENTOTA,"YATHRAMULLA,BENTOTA",6,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.007114,6.430846,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00043
COCO BAY,"NO. 4/10, RUMASSALA, UNAWATUNA.",8,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.243972,6.027435,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00044
REEF VILLA & SPA,"NO.78,SAMANTHARA RD, WADDUWA",7,Kalutara,Kalutara Pradeshiya Sabha,Wadduwa,79.928253,6.658974,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00045
DVILLAS LUXURY,"193/1, GNANENDRA MAWATHA, NAWALA",6,Colombo,Colombo,Colombo Divisional Secretariat,79.8872566,6.8864696,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00046
ERA BEACH HOTEL,"NO. 834, MATARA ROAD, THALPE",6,Galle,Galle,Galle Divisional Secretariat,80.2727742,5.9984781,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00047
THE RIVER HOUSE,"NO.70, UTTAMAGHNA MAWATHA,WALAGEDERA, BALAPITIYA",5,Galle,Galle,Galle Divisional Secretariat,80.043303,6.260578,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00048
KAHANDA KANDA,"AGULUGAHA, GALLE",6,Galle,Galle,Galle Divisional Secretariat,80.345978,6.020899,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00049
APA VILLA,"78TH MILE POST, MATARA ROAD, THALPE",5,Galle,Galle,Galle Divisional Secretariat,80.27272,6.04173,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00050
WARWICK GARDEN,"AMBEWELA DIVISION, WARWICK ESTATE, BORAGAS",5,Nuwara Eliya,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,80.828226,6.897703,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00051
VILLA REPUBLIC GALLE,"607/10,COLOMBO ROAD,GINTOTA,GALLE.",8,Galle,Galle,Galle Divisional Secretariat,80.179398,6.058846,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00052
COCOON RESORT AND VILLAS,"KAIKAWALA ROAD, INDURUWA",10,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.012888,6.373562,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00053
C & I BEACH HOTEL,"57,IRANAWILA WATTA, IRANAWILA, CHILAW",11,Puttalam,Chilaw Pradeshiya Sabha,Puttalam Divisional Secretariat,79.796028,7.506236,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00054
THE SUN HOUSE,"NO.18, UPPER DICKSON ROAD, GALLE",6,Galle,Galle,Galle Divisional Secretariat,80.218948,6.038032,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00055
TIENTSIN BUNGALOW,"TIENTSIN BUNGALOW, TIENTSIN, BOGAWANTALAWA",6,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Nuwara Eliya Divisional Secretariat,80.657846,6.81343,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00056
THE KANDY HOUSE,"AMUNUGAMA WALAWWA GUNNAPANA, KANDY",10,Kandy,Kandy,Kundasale Divisional Secretariat,80.61396,7.282111,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00057
WHY HOUSE,"MIHIRIPENNA, TALPE, GALLE",8,Galle,Galle,Galle Divisional Secretariat,80.266573,6.007401,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00058
CASTLEREAGH BUNGALOW,"CASTLEREAGH DIVISION, CEYLON TEA TRAILS, DICKOYA, HATTON",5,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.572189,6.866252,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00059
TURTLE BAY,"GURUPOKUNA,KALAMETIYA, HUNGAMA",8,Hambantota,Hambantota,Hambantota Divisional Secretariat,80.933843,6.076428,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00060
ARIKA VILLAS,"PUWAKATAWALA ROAD,40TH MILE POST,OFF MATALE ROAD,DAMBULLA.",9,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.66269,7.792484,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00061
CLINGENDAEL,"VICTORIA GOLF & COUNTRY RESORT,P.O.BOX 7, KANDY.",5,Kandy,Kandy,Medadumbara Divisional Secretariat,80.774172,7.267445,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00062
INDISCH,"NO.246,AHANGAMA KANDA,AHANGAMA.",5,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.372564,5.967664,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00063
PARADISE ROAD THE VILLA BENTOTA,"138/18, GALLE ROAD,BENTOTA",8,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.999713,6.411732,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00064
KIVGA HOLIDAY HOME,"4C/8 FIRST STAGE, MIHINDU MAWATHA, ANURADHAPURA",4,Anuradhapura,Anuradhapura,Anuradhapura East,80.416952,8.333752,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00065
VILLA SUNBIRD,"89B, WELLAMANKARAYA, OFF HUE FERNANDO MAWATHA, NAINAMADAMA",6,Puttalam,Polonnaruwa,Wennappuwa Divisional Secretariat,79.837662,7.306926,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00066
COMILLA BUNGALOW,"""COMILLA WATHE"" 76/5, INDURUGALLA, WATHURUGAMA",3,Gampaha,Gampaha,Dompe Divisional Secretariat,80.0942621,7.0566908,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00067
SANDELLE HOLIDAY RESORT,"4C/5, STAGE ONE, MIHINDU MAWATHA, ANURADHAPURA",6,Anuradhapura,Anuradhapura,Anuradhapura East,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00068
SACHAL MIR'S,"2-C, DUNGALPITIYA, THALAHENA, NEGAMBO",4,Gampaha,Negombo,Negombo Divisional Secretariat,79.8311,7.152417,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00069
MISTY HILLS BOUTIQUE COTTAGE,"20/23,TOP PASS, KANDY ROAD, NUWARAELIYA.(VIA SANASA RESORT)",4,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.7458665,6.9906717,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00070
THE PIER,"NO 113/8B ,DUWAWATTA, ST PETER'S ROAD, KORALAWELLA. MORATUWA.",4,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.888801,6.773335,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00071
SADULA HOLIDAY RESORT,"PULLAYAR JUNCTION, MIHINTHALE ROAD, ANURADHAPURA.",5,Anuradhapura,Anuradhapura,Anuradhapura East,80.4307097,8.3538076,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00072
NETH PIYASA,"04/85, BEKKEGAMA ROAD, WALANA, PANADURA.",3,Kalutara,Kalutara Pradeshiya Sabha,Thanthirimulla,,,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00073
ST.ANNE S LAGOON HOUSE,"SOTHTHUPITIYA WADIYA, KALPITIYA ROAD, PALAKKUDA.",6,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.759615,8.229533,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00074
FOREST PARADISE GUEST HOME,"PASSARA ROAD, ELLA.",5,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.05151,6.874164,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00075
MOUNT PLEASANT,"78, MISTY HILLS, WALAGEDARA, WATTAPALA, KADUGANNAWA.",3,Kandy,Kandy,Udunuwara Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00076
THE RANMIN BUNGALOW,"NO.9, TUDUWA, DAMPE, PILIYANDALA.",3,Colombo,Colombo,Colombo Divisional Secretariat,79.918606,6.766099,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00077
GREEN GARDEN HOLIDAY BUNGALOW,"535/E , ANAGI MW, HORAGOLLA, NITTAMBUWA.",3,Gampaha,Gampaha,Gampaha Divisional Secretariat,,,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00078
MATHUGAMA PIYASA,"KAJUGAHAWATTA, SAMAKANDA ROAD, MATHUGAMA.",3,Kalutara,Mathugama Pradeshiya Sabha,Mathugama Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00079
CLOUDS,"64,LILY AVE, HAPUTALE.",5,Badulla,Haputale,Haputale Divisional Secretariat,80.94992,6.7647,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00080
CASA BLANCO,"395/95, HILL CREST GREEN ,BOWALAWATTE, UDA PERADENIYA, KANDY.",4,Kandy,Kandy,Kandy Divisional Secretariat,80.618416,7.254844,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00081
HORAKELLE ESTATE,"BLOCK NO 2, PALLIYAPITIYA, DUNAGAHA.",9,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.971366,7.251445,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00082
SHINE INN TOURIST BUNGALOW,"12/10, GANIHIMULLA,DEWALAPOLA.",1,Gampaha,Minuwangoda Pradeshiya Sabha,Minuwangoda Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00083
ANKINDA LUXURIOUS VILLA,"293/11M, SURAMYA PLACE, GORAKAPOLA, PANADURA",4,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.904943,6.740224,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00084
SILVER BEACH HOTEL,"66/12, ALLES GARDEN, UPPUVELI,TRINCOMALEE",5,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.218226,8.616767,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00085
HOTEL OCEAN PARK,"101,ALLES GARDEN, SAMPALTIVU,TRINCOMALEE",7,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00086
RAMANATHAN COTTAGE,"848/A, VALAIYOOLHU,IRRAKKAKANDY, NILAVELI.",3,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00087
SAMANPAYA HOLIDAY BUNGALOW,"HELAMUDUNA, BANDARAWELA.",4,Badulla,Bandarawela Pradeshiya Sabha,Haputale Divisional Secretariat,80.983702,6.842848,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00088
LE GRAND MEAULNES - FAMILY HOLIDAY BUNGALOW,"""GREEN PATH"", TRINCOMALEE RD,HABARANA.",3,Anuradhapura,Anuradhapura,Anuradhapura East,80.760551,8.048284,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00089
ABERDEEN RANGE HOLIDAY HOME,"RANJIRAWA, GINIGATHHENA",3,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.465755,6.996841,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00090
WASALA VILLAGE VIEW,"""WASALA"" , MULLE WATTA, ELLA GAMA, DIYATALAWA",5,Badulla,Haputale,Haputale Divisional Secretariat,,,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00091
CLUB LESPRI,"322,TRANQUILITY, GALAHA ROAD, NILLAMBA",6,Kandy,Kandy,Kandy Divisional Secretariat,80.639866,7.199854,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00092
BARAMBA,"NO.22,UPAL MAWATHA,PRIMROSE HILL,KANDY",3,Kandy,Kandy,Kandy Divisional Secretariat,,,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00093
KOSALA BUNGALOW,"""KOSALA"" URANWELA,ELPITIYA.",4,Galle,Galle,Galle Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00094
BLUE LAGOON,"""BLUE LAGOON'WELLAWATTE,HIKKADUWA",3,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.101595,6.147039,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00095
SENANI COLONIAL HOLIDAY BUNGALOW,"NO.80,LADY MC CALUM DRIVE,HAWAELIYA,NUWARA ELIYA",4,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.776064,6.973548,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00096
RIVER SIDE INN FUJI,"81,CIRCULAR ROAD,OBADAWATTA,BENTOTA",4,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.007141,6.428151,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00097
ARANGA-LA,"NO.10,HOSPITAL ROAD,HOMAGAMA",3,Colombo,Homagama Pradeshiya Sabha,Homagama Divisional Secretariat,,,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00098
WESTROM VILLA,"ROBOLGODA, BENTOTA.",5,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00099
KANDY HOUSE,"NO 95,UPUL MAWATHA, ,5TH LANE,PRIMROSE GARDEN,KANDY",2,Kandy,Kandy,Kandy Divisional Secretariat,80.613952,7.282027,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00100
THE RANMIN LODGE,"""THE RUNMIN LODGE"",NO.12,GLENFALL LANE,NUWARA ELIYA",7,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,,,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00101
LANDS END,"649/13,SK TOWN,MEDDAWATTA,MATARA",3,Matara,Matara,Matara Divisional Secretariat,80.570361,5.939156,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00102
COCOON HILLS,"21A,GLENFALL ROAD,NUWARA ELIYA",6,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,,,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00103
SERENITY VILLA,"NO.14/2,AMARASENA MAWATHA,HIKKADUWA",3,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.101597,6.139843,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00104
SPRING ACRE,"NO.495 A-4, KANDY ROAD, TOPPASS,NUWARA ELIYA",4,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.748221,6.990897,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00105
TEA HILLS,"LYND HEAVEN , FRUIT HILL, HATTON",4,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.590915,6.896988,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00106
THAMBARAVILA,"""THAMBARAVILA"",NO.44/5,5TH LANE,NAWALA ROAD,RAJAGIRIYA",2,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,,,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00107
REEF EDGE RESORT,"NO 11C, BEACH ROAD , POLHENA ,MATARA",4,Matara,Matara,Matara Divisional Secretariat,80.528325,5.936969,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00108
LANKAN BRUNCH,"NO.152 ,PALLIYAWATTA ROAD, HENDALA, WATTALA",5,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,,,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00109
THE OCEAN FRONT,"14, SELLAMUTTU AVENUE, COLOMBO 3",6,Colombo,Colombo,Colombo Divisional Secretariat,79.8491,6.908351,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00110
RICHARDS,"NO. 08, SAMADHI MAWATHA, WELLANGOLLA ROAD, KURUNEGALA",5,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,,,Bungalows,STANDARD,standard,Veg & Non-Veg,SL_HOTEL_00111
MOUNTAIN GEM,"237A, SRIMATH KUDA RATWATTA MW, KANDY.",4,Kandy,Kandy,Kandy Divisional Secretariat,,,Bungalows,SUPERIOR,superior,Veg & Non-Veg,SL_HOTEL_00112
AVANA,"35, CHARLES PLACE, COLOMBO 3.",3,Colombo,Colombo,Colombo Divisional Secretariat,,,Bungalows,DELUXE,deluxe,Veg & Non-Veg,SL_HOTEL_00113
