judgement_id,profile_id,user_interests,place_id,poi_name,source_name,source_url,relevance_label,reviewer_notes
P03::osm-node-4566489017,P03,Culture,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P03::osm-node-5299675266,P03,Culture,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P04::wikidata-Q15717689,P04,Religion,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P04::wikidata-Q3119056,P04,Religion,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P04::wikidata-Q5966035,P04,Religion,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P04::wikidata-Q7876953,P04,Religion,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P04::osm-node-3276843504,P04,Religion,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P04::osm-node-4157023134,P04,Religion,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P04::wikidata-Q20859170,P04,Religion,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P04::wikidata-Q3217592,P04,Religion,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P04::wikidata-Q25637940,P04,Religion,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P04::wikidata-Q5370021,P04,Religion,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P04::wikidata-Q28015701,P04,Religion,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P04::osm-node-11017570005,P04,Religion,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P04::wikidata-Q3533580,P04,Religion,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P04::wikidata-Q20010653,P04,Religion,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P04::osm-node-11096423467,P04,Religion,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P04::osm-node-11583843280,P04,Religion,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P04::osm-node-5063761704,P04,Religion,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P04::osm-node-4440038982,P04,Religion,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P04::osm-node-4566489017,P04,Religion,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P04::osm-node-5299675266,P04,Religion,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P05::wikidata-Q15717689,P05,Wildlife,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P05::wikidata-Q3119056,P05,Wildlife,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P05::wikidata-Q5966035,P05,Wildlife,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P05::wikidata-Q7876953,P05,Wildlife,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P05::osm-node-3276843504,P05,Wildlife,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P05::osm-node-4157023134,P05,Wildlife,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P05::wikidata-Q20859170,P05,Wildlife,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P05::wikidata-Q3217592,P05,Wildlife,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P05::wikidata-Q25637940,P05,Wildlife,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P05::wikidata-Q5370021,P05,Wildlife,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P05::wikidata-Q28015701,P05,Wildlife,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P05::osm-node-11017570005,P05,Wildlife,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P05::wikidata-Q3533580,P05,Wildlife,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P05::wikidata-Q20010653,P05,Wildlife,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P05::osm-node-11096423467,P05,Wildlife,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P05::osm-node-11583843280,P05,Wildlife,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P05::osm-node-5063761704,P05,Wildlife,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P05::osm-node-4440038982,P05,Wildlife,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P05::osm-node-4566489017,P05,Wildlife,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P05::osm-node-5299675266,P05,Wildlife,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P06::wikidata-Q15717689,P06,Adventure,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P06::wikidata-Q3119056,P06,Adventure,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P06::wikidata-Q5966035,P06,Adventure,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P06::wikidata-Q7876953,P06,Adventure,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P06::osm-node-3276843504,P06,Adventure,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P06::osm-node-4157023134,P06,Adventure,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P06::wikidata-Q20859170,P06,Adventure,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P06::wikidata-Q3217592,P06,Adventure,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P06::wikidata-Q25637940,P06,Adventure,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P06::wikidata-Q5370021,P06,Adventure,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P06::wikidata-Q28015701,P06,Adventure,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P06::osm-node-11017570005,P06,Adventure,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P06::wikidata-Q3533580,P06,Adventure,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P06::wikidata-Q20010653,P06,Adventure,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P06::osm-node-11096423467,P06,Adventure,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P06::osm-node-11583843280,P06,Adventure,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P06::osm-node-5063761704,P06,Adventure,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P06::osm-node-4440038982,P06,Adventure,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P06::osm-node-4566489017,P06,Adventure,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P06::osm-node-5299675266,P06,Adventure,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P07::wikidata-Q15717689,P07,City,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P07::wikidata-Q3119056,P07,City,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P07::wikidata-Q5966035,P07,City,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P07::wikidata-Q7876953,P07,City,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P07::osm-node-3276843504,P07,City,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P07::osm-node-4157023134,P07,City,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P07::wikidata-Q20859170,P07,City,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P07::wikidata-Q3217592,P07,City,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P07::wikidata-Q25637940,P07,City,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P07::wikidata-Q5370021,P07,City,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P07::wikidata-Q28015701,P07,City,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P07::osm-node-11017570005,P07,City,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P07::wikidata-Q3533580,P07,City,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P07::wikidata-Q20010653,P07,City,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P07::osm-node-11096423467,P07,City,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P07::osm-node-11583843280,P07,City,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P07::osm-node-5063761704,P07,City,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P07::osm-node-4440038982,P07,City,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P07::osm-node-4566489017,P07,City,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P07::osm-node-5299675266,P07,City,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P08::wikidata-Q15717689,P08,Nature|Wildlife,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P08::wikidata-Q3119056,P08,Nature|Wildlife,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P08::wikidata-Q5966035,P08,Nature|Wildlife,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P08::wikidata-Q7876953,P08,Nature|Wildlife,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P08::osm-node-3276843504,P08,Nature|Wildlife,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P08::osm-node-4157023134,P08,Nature|Wildlife,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P08::wikidata-Q20859170,P08,Nature|Wildlife,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P08::wikidata-Q3217592,P08,Nature|Wildlife,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P08::wikidata-Q25637940,P08,Nature|Wildlife,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P08::wikidata-Q5370021,P08,Nature|Wildlife,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P08::wikidata-Q28015701,P08,Nature|Wildlife,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P08::osm-node-11017570005,P08,Nature|Wildlife,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P08::wikidata-Q3533580,P08,Nature|Wildlife,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P08::wikidata-Q20010653,P08,Nature|Wildlife,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P08::osm-node-11096423467,P08,Nature|Wildlife,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P08::osm-node-11583843280,P08,Nature|Wildlife,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P08::osm-node-5063761704,P08,Nature|Wildlife,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P08::osm-node-4440038982,P08,Nature|Wildlife,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P08::osm-node-4566489017,P08,Nature|Wildlife,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P08::osm-node-5299675266,P08,Nature|Wildlife,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P09::wikidata-Q15717689,P09,History|Culture,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P09::wikidata-Q3119056,P09,History|Culture,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P09::wikidata-Q5966035,P09,History|Culture,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P09::wikidata-Q7876953,P09,History|Culture,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P09::osm-node-3276843504,P09,History|Culture,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P09::osm-node-4157023134,P09,History|Culture,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P09::wikidata-Q20859170,P09,History|Culture,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P09::wikidata-Q3217592,P09,History|Culture,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P09::wikidata-Q25637940,P09,History|Culture,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P09::wikidata-Q5370021,P09,History|Culture,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P09::wikidata-Q28015701,P09,History|Culture,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P09::osm-node-11017570005,P09,History|Culture,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P09::wikidata-Q3533580,P09,History|Culture,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P09::wikidata-Q20010653,P09,History|Culture,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P09::osm-node-11096423467,P09,History|Culture,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P09::osm-node-11583843280,P09,History|Culture,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P09::osm-node-5063761704,P09,History|Culture,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P09::osm-node-4440038982,P09,History|Culture,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P09::osm-node-4566489017,P09,History|Culture,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P09::osm-node-5299675266,P09,History|Culture,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P10::wikidata-Q15717689,P10,Culture|Religion,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P10::wikidata-Q3119056,P10,Culture|Religion,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P10::wikidata-Q5966035,P10,Culture|Religion,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P10::wikidata-Q7876953,P10,Culture|Religion,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P10::osm-node-3276843504,P10,Culture|Religion,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P10::osm-node-4157023134,P10,Culture|Religion,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P10::wikidata-Q20859170,P10,Culture|Religion,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
